client_id,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11
dff4c1025e83a5ee9ca93fb75194fbd537f32403,True,True,True,False,True,True,True,True,True,True,True
535752cd86164eba5664469eb564984a215c9fb6,True,False,False,False,True,True,True,True,True,True,True
82b3e1852779e5ab199892feefa86cfa11905800,False,False,False,True,True,True,True,True,True,True,True
1156480fb1c2ceb20bd94216320424f66b1e9ad1,True,True,True,False,True,True,True,True,True,True,True
1e576d4f98912ee22732399655dabab5706cedf0,False,True,True,False,True,True,True,True,True,True,True
bc809dee31eb35bb657fcab4ad1911efe2c7d288,True,True,True,False,True,True,True,True,True,True,True
dd82441107ac5e3ee7badd0f2df4eeadf5155927,True,False,True,False,True,True,True,True,True,True,True
3195ecffe50bae8f5d96fe37d1162ffcc4bbf3ce,False,False,True,False,True,True,True,True,True,True,True
71910e993a27e996926dc2d8a65973a5a45b3732,True,False,False,False,True,True,True,True,True,True,True
f08aed159f14b2faabada6a2b5dc44aed5801516,False,False,False,True,True,True,True,True,True,True,True
07a17ff986bfdb0ea4f79e5486809c1c5451775e,True,True,True,False,True,True,True,True,True,True,True
8ee2435e3b4b36be573caed428b5383f4911908d,True,True,True,False,True,True,True,True,True,True,True
fa90d073dda9f7514743336a053a9522f70b13e1,True,True,True,False,True,True,True,True,True,True,True
33a2ba89ef5007e758175787927c9cc4beabe0f8,False,True,True,False,True,True,True,True,True,True,True
efdb1806318bdb56386cf08e1c4282873817a74e,True,False,True,False,True,True,True,True,True,True,True
6e1cf7b1262320d10cd3c8397aa48c62cae940cd,False,False,True,True,True,True,True,True,True,True,True
d88c2b0f0b902726410fcda629cf2785834a7761,False,False,True,True,True,True,True,True,True,True,True
634184628dcb9191f503be32ba315f7ec73291a5,True,True,True,False,True,True,True,True,True,True,True
82deb53de10dde33ce416a3618636873775c3bbc,False,False,True,False,True,True,True,True,True,True,True
c6709c1e78544d727d24568af8c2830582dd80e4,False,False,True,True,True,True,True,True,True,True,True
1897637c84ac88e11fabf7116d765195009149a6,False,False,False,False,True,True,True,True,True,True,True
ee071bdddbe774631120366b5e75ed6a9aa37470,False,False,False,True,True,True,True,True,True,True,True
ad5c05a86ea137a46c9fb6bfee44ef4f5d4e05ec,False,False,False,False,True,True,True,True,True,True,True
2674288e9841f35e77516c2d036de212aab59036,False,False,False,True,True,True,True,True,True,True,True
56f71388fa804e7623f721f46e984741193ae3e7,True,True,True,False,True,True,True,True,True,True,True
0b45f5c61c900a7af4669282e6fa0811aa753275,True,True,True,False,True,True,True,True,True,True,True
f2c9e8bde1729b5b08b4aa0b9ab7ba5e2c2ff5d4,False,False,True,False,True,True,True,True,True,True,True
9e9d36c9b3bbcadabc1d0d3bd003bff177162cf3,True,False,True,False,True,True,True,True,True,True,True
609f82e9f5faa15d06851f78ac3df4f2ec354b7e,False,False,True,True,True,True,True,True,True,True,True
51bee893d51a5d30d6026a40b960a09636fdb995,False,True,True,False,True,True,True,True,True,True,True
92e57fb6b87bd8ec1280f3fe617bb691a3765f37,False,False,True,False,True,True,True,True,True,True,True
b6faa556785c03c663be840ac18e27cfcc64ce3d,False,False,True,False,True,True,True,True,True,True,True
a562345fcdac4619405228bac06e88202b117f55,False,False,True,False,True,True,True,True,True,True,True
15fcd22fe84262a2f1dcd728f80c47bcebe20986,False,False,True,True,True,True,True,True,True,True,True
458c48a83895046f3081d59c76245aeb2ec46b30,False,False,True,True,True,True,True,True,True,True,True
37e8b3ea209bad140e7d7399ecfcf191e53533e7,True,True,True,False,True,True,True,True,True,True,True
0e0a5cfa8bb86b08dbdb9b4e9e3a95ba10303c98,False,False,False,False,True,True,True,True,True,True,True
a461a0261b1ce224280f49cd397ce3310acde4e6,False,False,False,True,True,True,True,True,True,True,True
30fc088fc2b4e5767e95b0703f227a043efedec2,False,False,True,True,True,True,True,True,True,True,True
790c64ab9515334e72c22a3547182e04768e4f54,True,True,True,False,True,True,True,True,True,True,True
23acb47d159390c213ad2def3e8db744e4c8f406,False,False,False,True,True,True,True,True,True,True,True
c6077afe455bfcbbd9ddd2fd04abd7ac1d890c62,False,False,True,False,True,True,True,True,True,True,True
4d872d18dc29af8ac1bc8cc0978b12e4a0c9ce0e,False,False,True,True,True,True,True,True,True,True,True
244b6b58e33fb3c180d84014baf0c082f96734a1,True,False,True,False,True,True,True,True,True,True,True
cb5598ce7d745a8294853f093dfbd4b187337f44,False,True,True,True,True,True,True,True,True,True,True
2a2cfef2749f86d19dc41a4871184aeb46404ce4,False,False,True,True,True,True,True,True,True,True,True
75980e43c293495fd41909ce2e32d875f8571afd,False,False,True,False,True,True,True,True,True,True,True
fbdf02072d800e54bc84c4f1fdfe49fd971229aa,False,False,True,False,True,True,True,True,True,True,True
e7ed6fc29dfcac39e1e884d06cd209ff1a718119,False,False,True,True,True,True,True,True,True,True,True
d6fc9bbdc7cf6c70a4bddaa737fc4caa47104722,False,False,True,True,True,True,True,True,True,True,True
dd6023cdf2a5c16a6427ad541261a6014d8e2f6f,False,False,True,False,True,True,True,True,True,True,True
5972a73f5da254f60ca691b339a7561941d7218f,False,False,False,True,True,True,True,True,True,True,True
d6d34c84c949759707455cb8c026bd85ae9f96ef,False,False,False,True,True,True,True,True,True,True,True
0a72b4df563e6dd906494b0bc9893219176b2d73,False,False,False,False,True,True,True,True,True,True,True
40e910172fbee0f5d34f0e4ec6e40d590717536e,False,False,True,True,True,True,True,True,True,True,True
656e3f068a83e752d9a3d3fd6f3d005f7f0f474b,True,True,True,False,True,True,True,True,True,True,True
076d2ec79e2fc4682cfd2d5f525e13da829c2b12,True,True,True,False,True,True,True,True,True,True,True
f67dbbac1cc6562158f83de370536d3c7f6deacc,False,False,True,True,True,True,True,True,True,True,True
0933af85d0feed4e68b2a8f1244aebada5b939e6,False,False,True,True,True,True,True,True,True,True,True
bf79f135ffed9c8bd1b35cfd0d029223ea2a3fdf,False,True,True,True,True,True,True,True,True,True,True
f717c8823d152bec7cc6fdfd948384ded810efa0,False,False,False,True,True,True,True,True,True,True,True
2bafb8436e7daa106f95cf4369b40ef89071955d,True,True,True,False,True,True,True,True,True,True,True
ac277208edd3cb5765c567c8df5242ddc636a040,True,True,True,False,True,True,True,True,True,True,True
8c6e2689976827f86e417dc06f58ed11596265a4,False,True,True,False,True,True,True,True,True,True,True
7fea598e0fba5866fdfda962c18fabb3498e4687,False,False,True,False,True,True,True,True,True,True,True
2e82d84adea2a3d7beb9c1fa647934390a935d6c,True,True,True,False,True,True,True,True,True,True,True
39e010d66f36e5fede82327aa394fa3d01b98ffc,False,False,True,True,True,True,True,True,True,True,True
0359230513d6c1d3ccdf2576c269ec3f7927fbd9,False,False,True,True,True,True,True,True,True,True,True
010ffbd4fdc3cae24c1034ce23bf8d645d25581e,False,False,False,True,True,True,True,True,True,True,True
e724aa5d99b1678a65ddc1243e1550c29ef85224,False,False,True,True,True,True,True,True,True,True,True
8f0b82816d1a440d1e3755aeb78d74a40499e714,False,False,True,True,True,True,True,True,True,True,True
4a104dc461bfd24e5e446374cf12f6f9048de550,False,False,True,False,True,True,True,True,True,True,True
c15b161de8eabbd670be4d1a43c2a08169b1e187,False,False,True,False,True,True,True,True,True,True,True
192e620af47e7edd3e928bb8c6c33e4bd97dffc8,False,False,True,False,True,True,True,True,True,True,True
ca9083c67817907697093e1a43369c10976e0787,True,False,True,False,True,True,True,True,True,True,True
9a78402376e0ce1bb7a22789126b4959beaf5474,False,False,False,True,True,True,True,True,True,True,True
e7e1104719e7e030eb8a944c93817b9583793f55,True,True,True,False,True,True,True,True,True,True,True
fd230550b027c06a07f2a8bebfe3243c3cedecbf,False,False,True,False,True,True,True,True,True,True,True
3034a8a49ef1ef4dcc932529bc04c54e813327c9,False,False,False,False,True,True,True,True,True,True,True
318e3d7e50a4a2e774ed5e15d7260072ffc0c5c1,False,False,True,False,True,True,True,True,True,True,True
d8b21dbc5b37f798bfca2a475d53cd7425d40278,False,False,True,True,True,True,True,True,True,True,True
dc2b9cde25d0e19baac60126565fbb71c9c9a732,False,False,True,False,True,True,True,True,True,True,True
e63f6e4f96717752396e240b13d36a0fd096ed73,False,False,True,True,True,True,True,True,True,True,True
2bdde6823493c1da6e3a7fe9e0c5de83842d9587,False,False,True,True,True,True,True,True,True,True,True
9082ccc0d1983b8439c7585a57d6b1d2eda6a4fc,False,False,True,True,True,True,True,True,True,True,True
38c8e3dc9cc2c5be17ba6ebf7db83ec6e445848b,False,False,True,True,True,True,True,True,True,True,True
7c013472b972def3be3502ac7dd54c846e6cd3b0,True,False,True,False,True,True,True,True,True,True,True
34454585bdcda7ba76fa35175202b720f8923424,False,False,False,True,True,True,True,True,True,True,True
0cbb4d463bb64c61d12c067cddf7f3b075583a45,False,False,False,True,True,True,True,True,True,True,True
47a81bea2cc57b413c78715ca426a0213546832b,True,True,True,False,True,True,True,True,True,True,True
031f4707892037e2af0a0f2c4818b05a35d1e12a,False,False,True,True,True,True,True,True,True,True,True
ddbb5b5c9d43e0204a764c883c72955f1033420d,False,False,True,True,True,True,True,True,True,True,True
2be1ace7277e5ba6ff733f829237aa1d7fe4186b,False,False,True,True,True,True,True,True,True,True,True
1f219c79e692685504dacc89696a65b25e2469b5,False,False,True,True,True,True,True,True,True,True,True
e4aaa877d74ac2ef988b0535c4986441aad7a6f3,True,False,True,True,True,True,True,True,True,True,True
9e16455c86da37dd22185dc65e8730fbadcc8b3e,False,False,True,False,True,True,True,True,True,True,True
3f357415ef57301df4c0aa9fda9a3b86a0847905,False,False,True,True,True,True,True,True,True,True,True
a807339513484e039250fbd8b45bbc08e7dd7fb4,False,False,True,False,True,True,True,True,True,True,True
08f4eff1a92b02429519246a3a6a49f03dfceb79,False,False,True,False,True,True,True,True,True,True,True
2ba4b1e0fde925dd6b0ef0563a0fe0dc80c560ea,True,True,True,False,True,True,True,True,True,True,True
2f8a208d175c9938fbcb412d86cba8da09fab1f5,True,False,True,True,True,True,True,True,True,True,True
e356f4e96888f96f5e1ed71f498a3a1fdeeff892,False,False,False,True,True,True,True,True,True,True,True
b8f2019234d7154a89a05e3de5a54c3271d79e07,False,True,True,True,True,True,True,True,True,True,True
135fd2a93be1e554329a0da0860616a042fb8eba,True,True,True,False,True,True,True,True,True,True,True
d1ad59bac790218acb64a6dccc8e7c16c0435276,True,True,True,False,True,True,True,True,True,True,True
ded544cdf84f6aad37e7c5791a1409ec7b064e06,False,False,True,True,True,True,True,True,True,True,True
1c1c3bd00e152fa4ab6e386508b4084519edf5be,False,False,False,True,True,True,True,True,True,True,True
e02b1efbfe35f2bac9fcb40dd94c6a2d77cde0b3,False,False,False,True,True,True,True,True,True,True,True
7ac965f2cd51f965ab00b9e3b200ae9f4c85c6c2,False,False,True,True,True,True,True,True,True,True,True
e8aa5541cdeeeefdec71f79e51d0a7f4d2eb386c,False,False,True,False,True,True,True,True,True,True,True
5b9383009c141574725ffbaf2d4627ea571438ec,False,False,True,False,True,True,True,True,True,True,True
cb45d13bc19015c6f97ec64d3445b74766d31c21,False,False,False,True,True,True,True,True,True,True,True
d78cb22226ae8b3b50cbd57519e33470ef815298,True,True,True,False,True,True,True,True,True,True,True
40048e639f8a8a661c16591696a3929e31e5c269,False,False,True,False,True,True,True,True,True,True,True
b3c4d6f27104efe24efc252642ccc371c9964779,False,False,True,False,True,True,True,True,True,True,True
8216ea936107148c97d913d94a38aa9db96f8007,True,True,True,False,True,True,True,True,True,True,True
d79648817c91dbf24a9f09bf2adbb82dbcb7356c,False,False,True,False,True,True,True,True,True,True,True
7ed37d937d1bc751b916db62a927148ae5214961,True,False,True,False,True,True,True,True,True,True,True
a46c9ac34e453fcb3075dff10a3fc23d673d8041,True,False,True,False,True,True,True,True,True,True,True
6e20dd3d92f63423f5dce3c4875291f57100e07d,True,True,True,False,True,True,True,True,True,True,True
1bb7a0a70c868ef4975cafd7efdd2ec6ed9c6884,True,True,True,False,True,True,True,True,True,True,True
84cf62ee2cef9de19d002b470433213e41fbaaa0,False,False,True,False,True,True,True,True,True,True,True
2ae89792fbba19adfdfe82225a68f65d5715a4c9,False,False,True,True,True,True,True,True,True,True,True
7514a963723cdd02249c293121faf4199542aab2,False,True,True,True,True,True,True,True,True,True,True
2c6c769dccaae4c0af57e99d75397cc6744f2e38,True,True,True,False,True,True,True,True,True,True,True
cdb71c345b07108f2a3de5335606d54f5fd88097,False,False,True,False,True,True,True,True,True,True,True
3b89ed4e79f9c914189e5b8df93f0ccc5525ebe6,False,False,False,True,True,True,True,True,True,True,True
841082217dfee851c15f1ae8122a155566593a37,True,True,True,False,True,True,True,True,True,True,True
17c88391b154ed0696254e75bde172435b4d0703,False,False,False,True,True,True,True,True,True,True,True
1c157265697a031f7bfcca4a0769ae810ef6b07f,False,False,True,True,True,True,True,True,True,True,True
9faacd05d50526016c58a8e6901fe87136ab79af,False,False,True,False,True,True,True,True,True,True,True
6688689ebd8d80766e5695cc602ccd4497c89846,False,False,True,True,True,True,True,True,True,True,True
a3f8b15672881f29d534abc04114ded8dde2a40a,True,False,True,False,True,True,True,True,True,True,True
96ff58af7fe017e4bfc0f14cd747124d1f974926,False,False,True,False,True,True,True,True,True,True,True
a4bd36bc6e4d482e19b168bda5480c5c9cd4601c,False,False,True,True,True,True,True,True,True,True,True
de39d960168e2c6929abc9e8a0661c21bbec1a9a,False,False,True,True,True,True,True,True,True,True,True
3defe151d480bfac651d6e15115d93f1c2fe963b,False,False,True,False,True,True,True,True,True,True,True
998af185ddbb38adfb346abd2025a3d699146f5f,False,False,True,False,True,True,True,True,True,True,True
c0200e4a5b978798d19bcc31b29a575e50bf415d,False,False,True,True,True,True,True,True,True,True,True
59c422c879db6366ed109853f8b6f9582288d84d,False,False,False,True,True,True,True,True,True,True,True
a33a28f8b2ae338804a13e60dce820daf0316133,False,False,True,False,True,True,True,True,True,True,True
d6aebfe007b3cf2befbd15cfa239e00557df4406,False,False,True,False,True,True,True,True,True,True,True
66c8a54896e6555f9586e1d864ea9fa2a5c96673,False,False,True,False,True,True,True,True,True,True,True
54f0cf5444180075bf4a2d5abcea2bd856396dbf,False,False,True,True,True,True,True,True,True,True,True
47692c9acaf0beaffef9654f386f3355298a3045,False,False,True,False,True,True,True,True,True,True,True
52bb04e914a9c33d1698d0f17968ef1f7fcf1163,False,True,True,False,True,True,True,True,True,True,True
22799864a6ada594a57a079d5cf80df12f5d6612,False,False,True,False,True,True,True,True,True,True,True
54c409d2f7f93405e2960c2cb951403730701fd4,False,False,True,True,True,True,True,True,True,True,True
244f218f89f10b82691eceb285da1e7532ed6c29,False,False,False,True,True,True,True,True,True,True,True
42cdffb1c71cc27d1c724627046ad1237b398ce9,False,False,True,False,True,True,True,True,True,True,True
c144033c64c0fe3e04c22bb7861510373320e474,True,False,True,False,True,True,True,True,True,True,True
